iso,Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CHN,China,MtCO2e,4718.49,4994.69,5239.63,5696.59,5978.4,6702.85,6706.25,6765.4,6985.91,6835.71,7221.05,7629.47,8189.48,9490.27,10944.17,12428.65,13720.27,14884.76,15346.61,16440.21,18027.26,18956.85,19499.76,20425.41,20546.45,20248.58,20339.02,20807.96,21796.45
USA,United States,MtCO2e,9884.48,9802.3,9958.71,10185.35,10351.15,10470.09,10797.83,11327.8,11422.79,11442.77,11772.71,11725.07,11417.15,11547.26,11709.28,11744.01,11554.55,11742.21,11377.85,10557.96,11063.56,10612.08,10175.9,10452.66,10514.56,10286.66,10455.83,10326.44,10689.23
IND,India,MtCO2e,1361.3,1459.4,1503.38,1561.59,1641.42,1759.82,1845.08,1950.5,1997.19,2140.19,2214.45,2704.54,2755.85,2826.87,2990.87,3113.31,3290.49,3559.07,3746.04,4040.24,4244.89,4310.32,4619.7,4746.71,5103.14,5133.33,5276.42,5514.65,5829.12
RUS,Russia,MtCO2e,4435.75,4347.77,4083.46,3740.84,3310.44,3183.78,3107.73,2846.45,2847.83,2914.82,3009.54,2229.17,2229.86,2348.91,2335.37,2367.62,2449.96,2459.93,2465.53,2219.12,2380.35,2715.79,2670.75,2586.53,2554.34,2515.27,2753.08,2808.73,2968.76
IDN,Indonesia,MtCO2e,1899.75,1934.84,1965,1994.93,2030.51,2093.23,1815.3,3499.26,2152.25,1985.01,1862.51,1527.19,2379.36,1805.2,2425.68,1951.3,2699.05,1724.23,1700.79,2400.46,1785.74,2853.08,2889.44,2771.01,3435.83,3523.25,2368.64,2385.96,2822.37
BRA,Brazil,MtCO2e,2879.6,2908.3,2920.68,2939.51,2963.62,3009.19,3033.84,3084.48,3129.49,3151.11,3166.26,3324.59,3360.54,3367.45,3432.16,3449.88,3443.9,3498.36,3520.06,3469.1,3622.09,1966.74,2046.75,2103.14,2169.72,2127.37,2295.8,2326.17,2261.61
JPN,Japan,MtCO2e,2121.57,2150.46,2174.63,2160.48,2271.31,2296.9,2325.32,2301.27,2212.55,2281.22,2311.56,2233.8,2298.59,2312.46,2295.75,2310.37,2267.34,2337.43,2198.36,2084.13,2196.38,2408.18,2492.09,2520.86,2423.87,2348.18,2359.62,2328.84,2245.74
IRN,Iran,MtCO2e,478.51,526.54,562.9,573.1,634.32,648.73,672.23,702.42,702.6,770.27,814.73,794.05,823.79,879.34,942.37,1014.89,1089.32,1151.55,1166.96,1207.31,1208.76,1317.95,1324.45,1370.59,1418.03,1411.46,1456.69,1505.52,1529.25
CAN,Canada,MtCO2e,1128.28,1118.01,1145.47,1137.16,1169.97,1197.27,1232.99,1259.91,1284.51,1293.6,1331.69,1785.56,1824.46,1866.63,1855.41,1881.62,1861.9,1926.35,1880.7,1816.62,1849.37,1546.11,1543.56,1565.18,1579.13,1575.32,1372.99,1401.27,1431.85
COD,Democratic Republic of the Congo,MtCO2e,807.09,804.27,804.15,806.04,807.86,807.81,798.81,805.47,807.36,799.28,795.04,790.59,804.8,813.5,816.84,817.51,820.32,812.65,817.41,816.85,820.27,1288.19,1283.9,1289.15,1290.74,1291.63,1290.96,1293.05,1286.52
DEU,Germany,MtCO2e,2019.55,1969.45,1884.33,1870.04,1849.29,1843.76,1903.4,1834.55,1804.28,1734.44,1723.48,1825.62,1795,1799.34,1766.81,1726.17,1746.98,1687.94,1696.64,1585.27,1653.99,1575.97,1602.81,1635.2,1554.19,1565.15,1572.63,1540.38,1487.29
SAU,Saudi Arabia,MtCO2e,411.11,460.46,492.16,491.01,493.69,491.03,519.3,527.87,557.88,567.8,594.37,602.65,638.71,672.35,704.76,740.43,783.07,822.18,897.02,926.45,1010.98,1060.22,1125.45,1152.32,1233.2,1291.4,1295.54,1277.84,1243.43
KOR,South Korea,MtCO2e,443.45,498.77,546.46,608.69,663.6,727.67,780.35,827.9,697.58,770.78,864.68,850.1,859.84,870.76,918.41,908.85,923.99,949.73,973.83,999.49,1100.03,1166.64,1171.86,1171.56,1149.59,1190.29,1217.57,1242.03,1253.06
MEX,Mexico,MtCO2e,726.3,764.02,770.7,797.09,849.64,809.24,844.28,888.02,944.01,917.85,968.88,786.94,804.53,850.03,866.77,908.79,944.69,964.81,970.98,949.17,980.48,1180.35,1193.7,1169.71,1149.18,1174.83,1189.46,1185.24,1125.8
AUS,Australia,MtCO2e,859.5,861.48,866.04,872.88,885.77,904.22,915.97,934.19,980.54,1026.67,1051.16,1042.86,1047.34,970.49,1035.27,1000.01,1053.11,1063.68,1037.78,1061.8,1045.43,1027.32,1029.56,937.35,944.67,951.02,1002.27,1050.84,1045.21
ZAF,South Africa,MtCO2e,588.67,579.45,572.27,590.21,602.56,627.37,648.5,678.75,695.04,656.82,666.7,736.13,762.26,807.67,862.92,860.93,865.61,904.4,967.41,923.04,967.26,935.15,972.73,992.96,1016.27,968.5,970.05,993.14,1001.61
TUR,T?rkiye,MtCO2e,310.76,317.81,331.3,343.37,336.78,365.61,400.5,417.58,419.06,417.9,465.59,373.02,393.64,416.18,427.64,450.5,505.8,563.3,558.68,563.32,583.03,593.26,619.97,600.12,648.06,667.93,779.91,863.92,860.34
VNM,Vietnam,MtCO2e,-53.68,-49.37,-45.77,-37.04,-29.71,-17.43,-6.12,7.19,23.47,28.45,40.71,231.03,259.01,266.38,300.59,317.12,322.85,347.11,368.98,406.11,444.02,370.87,372.05,397.22,426.59,468.54,529.96,545.43,659.32
GBR,United Kingdom,MtCO2e,1335.18,1352.95,1322.37,1287.58,1278.99,1262.84,1303.17,1261.3,1260.96,1233.93,1244.11,1270.13,1237.39,1258.35,1252.97,1244.6,1242.01,1215.04,1179.25,1074.09,1102.9,1025.69,1067.74,1036.09,958.3,928.53,887.98,856.24,841.7
THA,Thailand,MtCO2e,271.95,291.79,314.85,349.13,378.64,415.57,455.2,470.76,430.61,450.4,450.43,381.15,406.4,421.55,463.68,477.96,483.97,508.37,511.45,499.18,537.5,601.33,642.71,660.32,654.98,665.31,703.18,710.61,709.99
MYS,Malaysia,MtCO2e,349.02,370.5,375.31,387.76,402.33,415.74,434.67,454.66,502.73,468.83,490.66,473.16,501.49,518.51,564.27,589.33,582.76,628.46,650.4,639.44,663.98,215.3,218.11,257.27,316.28,290.2,660.59,632.49,676.24
PAK,Pakistan,MtCO2e,235.62,240.38,256.68,273.01,282.13,299.44,309.66,319.86,324.48,346.11,348.06,351.02,359.89,372.65,402.76,415.04,445.09,475.86,472.17,489.04,477.68,484.87,491.15,504.88,526.46,550.7,595.31,639.47,622.88
ITA,Italy,MtCO2e,819.39,815.75,810.95,799.65,790.11,839.63,831.94,839.17,861.43,875.6,884.3,882.77,898.97,936.49,958.39,961.13,942.01,927.89,898.46,801.53,818.34,799.26,761.16,698.9,660.28,682.25,716.9,707.49,698.13
POL,Poland,MtCO2e,777.98,777.52,759.02,760.22,750.79,750.72,780.45,759.25,704.15,683.93,657.02,536.38,523.5,545.24,553.31,554.21,581.3,581.12,569.84,543.94,578.86,660.87,646.64,635.8,609.97,616.48,626.38,652.67,649.88
ARG,Argentina,MtCO2e,443.66,453.76,460.68,463.88,469.26,473.07,494.39,503.56,515.45,524.79,521.91,607.74,596.38,628.78,658.53,666.68,690.14,710.3,719.34,688.09,704.33,665.45,671.84,687.03,680.98,693.86,623.01,623.46,619.21
NGA,Nigeria,MtCO2e,400.88,426.73,452.31,444.05,431.42,443.22,485.4,476.39,448.81,434.41,456.59,458.15,430.71,460.68,460.57,465.55,443.63,425.55,435.88,413.21,453.89,468.13,471.57,496.69,513.08,499.58,510.4,511.95,526.58
FRA,France,MtCO2e,803.92,853.35,826.76,788.66,777.88,794.36,829.77,811.6,849.66,834.27,830.88,756.9,744.21,754.97,754.21,758.38,739.47,724.08,713.2,681.01,689,670.72,677.64,678.69,612.8,623.35,624.65,631.86,606.5
EGY,Egypt,MtCO2e,225.12,232.21,236.26,243.59,235.08,250.41,263.01,278.77,289.44,304.45,301.7,327.15,335.24,343.95,368.38,406.52,426.01,453.64,469.41,484.29,489.35,504.29,524.05,520.04,531,544.33,563.25,582.65,569.71
KAZ,Kazakhstan,MtCO2e,534.41,552.05,562.07,491.03,449.14,396.7,350.03,306.45,310.59,283.49,280.77,276.5,318.25,344.57,374.79,400.49,436.42,462.09,553.35,497.33,533.76,547.95,545.2,575.62,475.76,438.36,472.84,508.55,510.63
ESP,Spain,MtCO2e,405.16,418.4,438.51,409.42,432.7,458.53,441.47,481.41,498.49,545.21,577.54,624.19,658.89,673.78,706.81,736.4,721.67,750.85,687.13,614.89,585.97,609.53,597.91,545.01,541.93,567.74,537.16,570.24,557.37
ARE,United Arab Emirates,MtCO2e,133.81,148.61,144.72,152.83,168.7,178.07,185.85,192.09,196.25,199.79,199.43,225.81,229.55,242.51,256.82,272.57,285.05,306.14,356.19,357,370.43,381.7,402.1,423.33,427.62,448.44,460.79,443.17,408.57
COL,Colombia,MtCO2e,359.2,362.34,367.59,376.02,379.35,386.1,385.36,397.04,399.36,378.7,385.97,363.71,359.56,360.68,362.55,364.7,365.51,372.5,374.38,380.31,387.07,348.62,347.15,362.97,369.02,369.16,428.46,416.02,428.93
DZA,Algeria,MtCO2e,186.39,193.56,194.63,208.41,212.05,221.33,224.51,222.08,224.18,231.33,243.39,233.01,243.22,262.37,267.48,279.52,292.8,299.1,309.16,315.44,320.33,336.02,368.72,377.4,398.84,416.77,418.04,424.01,439.11
IRQ,Iraq,MtCO2e,167.65,104.82,151.26,200.27,228.26,224.3,221.46,270.84,227.66,195.22,226.94,246.95,229.62,199.52,222.62,215.63,213.08,201.97,229.47,245.63,275.96,290.64,331.07,353.89,347.36,353.72,384.12,412.56,437.51
UKR,Ukraine,MtCO2e,1436.02,1356.81,1190.39,1031.6,858.29,818.57,704.55,662.82,616.02,605.52,586.12,639.29,647.15,698.07,648.59,623.74,639.62,656.83,634.7,530.17,567.03,617.94,604.5,593.1,526.48,430.52,456.92,404.12,426.39
MMR,Myanmar,MtCO2e,348.42,347.76,350.76,353.96,357.43,361.87,356.6,353.85,361.51,367.47,365.07,326.41,324.59,340.67,357.04,344.91,350.27,361.09,342.28,354.37,361.98,312.15,324.86,330,341.27,351.43,341.29,364.58,370.68
PHL,Philippines,MtCO2e,141.1,140.51,145.93,155.15,165.97,187.94,201.93,217.6,210.47,213.81,215.38,212.78,215.56,220.57,225.63,228.19,214.85,224.97,229.84,234,245.15,247.51,256.22,276.51,290.47,308.52,330.04,359.73,371.92
VEN,Venezuela,MtCO2e,682.63,697.5,701.74,713.48,717.47,751.45,787.2,812.56,815.49,788.91,811.49,705.51,693.21,673.19,700.51,728.55,726.9,717.24,741.99,731.97,747.47,782.14,838.57,840.65,834.86,795.01,623.53,576.3,525.56
BGD,Bangladesh,MtCO2e,139.63,139.13,142.19,144.3,147.84,155.99,156.71,161.13,161.24,166.05,167.89,179.62,184.63,187.96,191.59,198.66,207.79,212.65,224.84,231.99,245.39,254.06,263.6,272.83,281.11,296.2,311.15,327.66,345.4
PER,Peru,MtCO2e,184.85,183.12,184.55,186.42,189.52,197.55,203.66,204.51,204.36,210.67,210.84,216.9,220.03,219.4,227.54,229.24,228.12,235.04,244.39,251.35,259.75,315.18,315.19,318.68,325.8,328.92,335.78,330.84,331.33
NLD,Netherlands,MtCO2e,371.17,381.85,379.93,388.61,388.05,395.43,415.81,400.42,401.05,383.47,382.12,387.65,387.6,390.35,393.77,383.81,374.94,375.28,373.27,363.47,384.74,359.73,356.82,356.1,341.61,357.43,359.46,352.66,342.47
UZB,Uzbekistan,MtCO2e,284.24,286.88,269.93,274.13,266.1,245.42,248.18,253.58,286.09,286.62,300.82,283.5,293.99,278.36,285.14,272.5,291.59,281.91,297.4,272.08,292.9,315.13,284.21,281.56,266.68,256.19,270.67,280.36,290.83
TKM,Turkmenistan,MtCO2e,198.11,182.83,128.35,137.36,122.91,124.22,117.87,102.32,105.5,130.12,156.32,158.77,169.38,190.51,201.53,207.48,209.02,229,237.24,187.81,210.3,247.53,257.47,263.37,259.54,267.24,262.32,260.71,262.84
ETH,Ethiopia,MtCO2e,120.75,121.17,121.2,115.74,117.26,118.45,121.48,125.67,131.6,132.42,129.1,140.8,150.57,149.46,151.89,155.18,160.34,170.94,175.28,179.43,184.59,186.27,192.95,198.81,207.37,211.19,220.01,223.89,227.63
TZA,Tanzania,MtCO2e,151.41,151.67,151.78,152.46,153.19,158.2,151.13,150.62,154.65,154.61,152.45,158.05,164.25,173.33,173.95,180.69,175.47,177.27,180.11,182.16,186.04,188.87,194.87,197.78,197.43,204.26,227.68,228.4,227.55
KWT,Kuwait,MtCO2e,68.43,18.35,55.44,77.49,91.1,90.44,89.82,94.09,103.68,110.04,119.93,126.35,130.54,138.32,147.34,164.51,170.72,166.94,179.08,181.06,188.31,196.57,203.12,209.43,206.86,214.81,222.77,220.89,227.46
BOL,Bolivia,MtCO2e,200.6,202.18,203.3,201.13,199.6,197.24,196.49,199.79,199.3,204.58,194.82,154.79,162.19,159.09,174.84,169.34,172.1,179.52,173.73,172.6,199.72,188.79,190.25,191.21,192.81,196.92,216.9,215.27,215.94
ZWE,Zimbabwe,MtCO2e,69.5,71.55,72.55,67.6,66.21,65.55,66.97,65.05,66.6,70.68,65.44,66.79,62.94,58.42,58.05,59.6,57.89,58.43,54.57,55.09,59.91,64.8,65.51,65.72,63.67,65.17,212.94,211.95,214.99
QAT,Qatar,MtCO2e,28.78,34.3,33.81,38.55,42.95,44.27,48.79,60.31,62.9,68.51,69.08,68.73,76.56,82.67,88.92,92.09,104.17,118.25,127.12,130.31,147.61,166.21,182.09,185.27,195.68,201.8,206.09,206.91,206.29
BEL,Belgium,MtCO2e,232.34,241.91,238.32,233.9,244.05,243.88,254.11,248.11,253.65,245.91,247.61,251.1,236.29,244.32,240.04,234.92,228.13,219.17,224.7,211.38,225.83,205,202.56,204.78,192.47,201.86,204.91,201.18,202.87
CZE,Czech Republic,MtCO2e,319.52,289.32,281.84,268.61,256.02,254.12,262.1,256.62,243.41,227.49,251.81,256.2,246.52,252.94,253.63,250.23,251.94,255.63,244.48,233.06,235.25,236.3,228.91,219.26,213.6,216.7,215.93,216.54,214.47
AGO,Angola,MtCO2e,85.25,85.79,86.82,92.14,97.13,101.69,107.34,107.15,117.2,115.6,107.97,155.47,159.35,167.03,171.17,170.23,168.69,173.77,179.04,183.71,190.11,190.36,189.6,194.8,199.43,207.7,202.57,196.66,181.32
CMR,Cameroon,MtCO2e,131.93,143.84,143.26,139.67,191.62,191.29,192.72,193.71,197.88,196.46,198.47,172.39,172.45,175.72,172.25,174.76,172.12,173.67,174.47,174.63,175.01,158.75,159.01,161.66,163.25,165.45,167.81,167.25,168.71
SDN,Sudan,MtCO2e,96.86,97.16,100.54,101.17,107.34,108.48,112.97,121.59,127.92,132.67,133.52,123.35,129.95,132.67,136.55,143.18,144.66,151.26,152.49,154.73,153.6,155.16,156.74,157.64,159.43,165.42,169.75,169.51,170.55
OMN,Oman,MtCO2e,32.1,40.05,39.08,40.73,43.66,49.72,51.15,53.06,51.76,57.14,64.55,71.22,74.81,78.34,77.17,76.96,93.41,99.36,98.03,103.28,111.1,125.02,140.13,146.51,153.47,161.62,167.07,165.78,174.66
MOZ,Mozambique,MtCO2e,133.88,133.97,134.79,135.7,135.8,136.12,120.93,118.8,121.82,120.65,118.66,137.39,137.75,143.33,142.36,147.32,146.24,147.67,152.96,147.6,156.56,143.03,148.18,150.21,150.39,149.45,169.4,167.69,170.69
ECU,Ecuador,MtCO2e,126.08,127.12,130.76,132.53,137.64,142.22,149.42,152.26,150.07,144.37,144.17,135.46,134.97,136.67,142.6,146.38,150.79,150.88,153.66,159.88,166.23,143.26,143.12,148.82,152.63,150.56,166.15,163.53,166.5
MAR,Morocco,MtCO2e,48.5,51.45,54.3,54.69,59.94,61.72,62.08,65.41,67.04,70.78,72.53,80.22,82.94,82.7,91.08,96.64,100,102.09,106.88,107.06,113.45,128.74,132.7,132.71,135,138.84,136.55,143.55,146.2
PRY,Paraguay,MtCO2e,119.39,116.33,116.07,116.6,117.08,119.49,119.26,120.81,121.1,124.21,118.82,149.33,149.87,151.69,149.5,150.65,150.98,154.27,152.67,154.95,157.93,183.04,184.22,185.95,188.08,189.21,146.7,150.26,148.85
ISR,Israel,MtCO2e,77.86,79.65,84.78,92.5,98.7,105.96,111.04,116.31,118.2,121.89,130.79,131.62,136.72,139.38,140.71,137.2,144.79,150.21,150.99,149.48,159.73,158.75,171.52,153.96,149.82,153.53,152.48,154.71,146.59
BLR,Belarus,MtCO2e,215.71,206.86,183.49,159.17,134.48,119.98,121.81,123.02,119.54,115.8,111.33,124.46,123.94,125.62,132.38,133.87,139.33,136.5,143.25,137.17,146.05,157.35,160.38,161.14,159.92,150.88,140.1,142.49,148.33
TCD,Chad,MtCO2e,32.3,38.73,39.6,40.53,41.56,42.57,46.03,47.76,52.33,54.17,54.47,67.71,71.96,76.46,79.66,83.05,84.47,86.91,87.42,87.47,91.01,111.65,115.3,117.26,119.71,124.39,124.55,126.37,130.82
PRK,North Korea,MtCO2e,287.02,272.99,245.27,227.45,208.42,194.02,172.54,165.86,153.85,163.72,172.16,168.34,162.61,165.85,169.96,176.66,180.11,153.92,169.27,135.2,128.8,103.15,105.85,84.25,91.86,79.23,85.81,138.92,131.11
ZMB,Zambia,MtCO2e,82.53,83.04,83.16,82.38,81.29,81.06,68.59,69.59,70.72,68.7,65.37,73.49,77.02,83.64,84.34,87.38,82.03,84.76,87.81,84.14,91.29,121.18,125.88,127.29,128.35,134.73,133.63,135.42,135.23
GRC,Greece,MtCO2e,168.84,169.1,173.54,173.81,178.08,185.61,186.62,188.71,196.27,197.44,210.3,212.67,212.93,219.77,219.45,223.58,220.79,228.3,219.98,207.75,193.71,192.58,183.67,168.4,162.38,159.1,156.66,156.21,151.7
KHM,Cambodia,MtCO2e,30.69,30.43,31.01,31.86,30.67,33.41,29.29,30.73,34.49,34.11,32.5,33.13,35.8,38.51,39.41,37.61,41.78,43.44,43.55,45.82,45.06,170.95,169.28,169.43,171.15,174.9,107.84,111.79,112.17
MNG,Mongolia,MtCO2e,90.68,94.71,90.58,88.37,85.03,85.94,83.8,85.87,85.58,85.79,87.36,83.89,82.73,82.23,82.38,86.66,90.97,94.36,94.53,96.31,94.25,97.58,102.39,106.16,108.45,109.07,111.91,116.07,119.91
LBY,Libya,MtCO2e,108.73,113.21,102.23,114.19,136.42,149.35,154.13,143.3,142.62,141.88,147.41,143.39,143.9,155.96,158.8,172.49,174.71,167.1,175.58,176.08,185.79,111.56,182.86,167.89,151.68,134.12,128.51,152.31,163.41
ROU,Romania,MtCO2e,397.35,329.25,293.08,273.82,267.24,278.52,285.51,263.42,233.35,203.03,211.06,215.48,211.1,220.4,215.94,214.7,222.86,217.99,214.67,184.2,178.24,-375.56,-380.07,-399.07,-400.29,-396.23,125,130.62,132.8
AUT,Austria,MtCO2e,108.31,116.73,106.16,106.22,106.78,112.16,119.59,117.94,118.36,114.93,115.64,138.95,141.91,151.94,154.17,154.65,150.31,144.5,143.74,130.24,141.57,136.26,129.65,130.91,123.45,125.93,126.62,130.71,124.86
FIN,Finland,MtCO2e,73.2,73.66,67.7,70.13,83.24,75.46,88.42,84.62,77.78,76.91,74.83,117.4,122.27,138.96,131.47,107.03,130.28,126.44,109.87,104.07,120.64,25.97,14.73,16.3,8.3,1.48,129.67,124.4,127.74
SRB,Serbia,MtCO2e,138.55,118.38,109.66,98.27,90.98,103.23,118.21,127.73,127.52,93.55,98.78,37.99,44.94,51.41,61.03,46.52,51.05,48.45,44.56,39.15,38.92,112.87,102.58,103.98,88.5,101.25,109.44,110.53,107.68
SGP,Singapore,MtCO2e,59.76,64.41,67.98,79.19,84.53,85.44,87.77,87.51,85.73,87.71,96.87,96.71,95.22,88.94,91.86,86.42,87.12,89.51,89.95,90.92,98.26,103.66,102.18,103.3,104.96,107.71,107.69,113.13,109.61
HUN,Hungary,MtCO2e,159.99,152.08,135.64,136.49,135.62,133.59,136.83,133.67,133.94,135.29,129.04,134.35,132.02,137.32,134.25,133.14,131.96,128.17,125.96,114.94,114.95,111.37,104.02,98.99,99.15,104.84,107.58,117.8,117.12
IRL,Ireland,MtCO2e,103.33,104.37,104.58,105.37,107.96,109.34,112,114.46,120.19,123.4,129.1,134.29,131.97,132.99,132.75,135.95,137.14,134.95,133.14,122.37,120.89,112.83,114.79,112.61,112.77,116.13,119.84,117.71,115.13
BWA,Botswana,MtCO2e,97.69,97.03,97.83,97.43,97.5,98.51,99.81,99.51,99.85,100.01,99.88,101.53,102.04,94.81,95.5,97.22,98.83,97.33,106.13,96.85,106.47,111.84,98.66,101.61,101.89,101.22,99.81,104.29,103.6
PRT,Portugal,MtCO2e,100.17,103.6,111.65,109.57,112.99,120.14,116.61,121.12,130.98,144.29,143.27,140.52,149.38,139.75,143.1,149.64,139.47,136.42,132.21,130.88,120.12,115.37,112.03,108.68,107.64,115.67,115.73,125.26,116.6
NZL,New Zealand,MtCO2e,44.21,44.19,46.78,45.55,47.28,48.7,50.18,54.97,52.79,56.47,57.49,68.5,69.59,73.96,72.78,75.58,75.75,73.64,74.5,68.63,68.65,79.59,83.87,83.27,83.98,83.67,93.39,96.75,95.62
SLB,Solomon Islands,MtCO2e,8.36,8.38,8.41,8.43,8.46,8.48,8.51,8.53,8.55,8.57,8.6,4.18,4.22,4.25,4.29,4.32,4.35,4.38,4.41,4.44,4.47,-34.53,-34.51,-34.43,-34.51,-34.56,91.92,91.94,91.98
PNG,Papua New Guinea,MtCO2e,52.79,53.8,54.85,55.95,56.67,61.65,61.21,76.01,63.05,64.91,67.25,67.16,68.38,68.65,70.46,68.47,68.27,68.42,67.51,67.81,67.78,83.07,83.45,84.91,87,90.31,90.86,90.85,92.68
CIV,C?te d'Ivoire,MtCO2e,131.35,134.15,136.77,139.64,142.6,143.9,145.58,148.29,149.11,153.16,152.84,83.97,84.71,80.52,79.09,80.84,79.69,79.08,79.45,77.56,77.55,76.95,80.5,82.59,82.99,84.41,85.72,87.21,86.74
BHR,Bahrain,MtCO2e,26.68,25.93,30.06,31.85,32.6,33.48,35.35,36.61,39.44,39.99,41.5,42.83,44.87,46.66,46.89,52.93,57.19,58.91,63.16,63.66,66.87,67.62,70.36,74.86,78.38,79.36,79.75,80.85,82.1
BFA,Burkina Faso,MtCO2e,36.9,37.33,37.63,37.88,38.32,38.7,39.95,40.65,41.54,41.57,43.09,49.03,49.72,53.2,53.77,54.4,54.65,55.65,56.67,57.34,58.65,38.01,39.18,40.43,40.96,42.91,81.04,82.62,84.01
AZE,Azerbaijan,MtCO2e,125.8,121.97,142.86,106.74,72.82,70.89,60.13,58.98,59.51,59.4,62.73,60.37,60.22,65.31,65.13,69.95,72.78,69.09,76.38,67.29,65.01,68.37,74.25,76.28,78.81,78.22,80.9,79.89,82.08
KEN,Kenya,MtCO2e,32.79,31.27,31.32,30.99,31.45,32.21,32.19,31.53,33.38,35.67,35.55,72.93,73.6,73.78,77.15,78.62,80.08,96.77,98.4,100.89,103.32,92.16,90.27,92.57,97.97,101.36,76.16,74.74,74.93
SSD,South Sudan,MtCO2e,49.02,49.85,52.19,53.97,56.03,56.91,61.35,66.78,72.38,75.93,77.86,72.53,76.52,79.58,82.26,85.58,84.53,88.76,89.85,91.93,91.21,87.26,71.74,71.92,73.2,74.06,79.95,77.23,82.54
CHL,Chile,MtCO2e,42.62,40.19,42.89,47.69,55.12,61.96,74.37,87.95,89.72,95.04,87.06,45.4,46.81,48.58,58.73,60.37,62.81,78,86.29,81.26,90.67,13.39,17.73,25.46,11.7,23.52,78.7,81.22,79.49
